post_id,ig_url,caption,media_count,likes,comments,is_sponsored,sponsorship_signal,brand_safety_profanity,brand_safety_sensitive,claimed_results,face_present,value_medium,format_structure,value_depth,hook_type,notes
3907217645364864945,https://www.instagram.com/p/DY5Ob9EHGex/,"Everything we did in Iceland! 🧚🧊👼🛸 /  / Stay: The Retreat at The Blue Lagoon / Eat: Friðheimar Farms, Sandholt Bakery, Dill (we missed our res, but looked good), Lava at Blue Lagoon + the breakfast was great! / Do: Reykjadalur Hot Springs, Brúarfoss Waterfall, Kerið Crater, Laugaras Lagoon, Sky Lagoon",10,477,26,,,,,,,,,,,
3916440911741046742,https://www.instagram.com/p/DZZ_kJQIc_W/,"All good marketing is good copywriting /  / If you want to master copywriting principles,  /  / Comment “Copy” i’ll send you a Claude code skill to install to your workspace",1,5541,755,,,,,,,,,,,
3904916295027961147,https://www.instagram.com/p/DYxDK5ixq07/,YC just put out this new video talking about the concept of a “self improving startup” shit got me inspired. I’ve seen some really sick setups of people who have agents monitoring every skill that’s run and improving it as it goes. Kinda like Hermes Agent. Crazy times. /  / #ai #startup #founder,1,9118,89,,,,,,,,,,,
3859642126230085815,https://www.instagram.com/p/DWQNBCGE-C3/,"Try making the Incredibles character of yourself! /  / Comment ""incredibles"" and I'll send you the prompt ✨ /  / I ran this through Higgsfield (@higgsfield.ai) with the new Nano Banana 2 (@googlegemini) prompt and the pixar subsurface skin rendering is genuinely unhinged. same face, same pose, zero reinterpretation 🔥 /  / #theincredibles #superherotransformation #pixarmovie #geminiprompt #aitrend",1,263,382,,,,,,,,,,,
3820108335173735555,https://www.instagram.com/p/DUDwEqBihSD/,"How To Start A Clothing Brand /  / Resources For Your Clothing Brand : /  / (Clothingbrandz.com 🔗) /  / (Mentorship, Mockups, Manufacturers, Guides, Shopify Websites, Network, Brand Community, Scaling, More) /  / #clothingbrand #howtostartaclothingbrand #brandowner #clothingbrandowner #fyp tools startaclothingbrand  /  / Mockups - Clothing Brand - Ecom - Business - Brand Owner",5,14964,52,,,,,,,,,,,
3838281772950469769,https://www.instagram.com/p/DVEUO-4kbyJ/,I don’t miss the clickfunnels era ngl  /  / #ai #copywriting #chatgpt,1,1439,79,,,,,,,,,,,
3902890091271882160,https://www.instagram.com/p/DYp2dwPpwWw/,Link in bio to get your hands on Codex! /  / #ChatGPT_Partner /  / @openaidevs,1,105,9,,,,,,,,,,,
3867240000819221086,https://www.instagram.com/p/DWrMkqOAtJe/,"my heart literally cannot handle how cute this turned out 🖍️ /  / Comment ""couplecrayon"" and I'll send you the prompt ✨ /  / I used Higgsfield (@higgsfield.ai) with Nano Banana Pro (@googlegemini) to generate this crayon couple prompt and it kept our hair, outfits, and height difference — in child drawing style. save this for your anniversary or just because /  / #crayonart #coupleaesthetic #childdrawingstyle",1,767,799,,,,,,,,,,,
3747763970153929409,https://www.instagram.com/p/DQCu3lvCFrB/,How I went from 0 clients to fully booked in 6 months. /  / 👉🏻 Comment WIN for my exact DM template I send to clients 🤌 /  / Most creatives can make amazing work. / But they’re invisible. /  / And they don’t know how to find clients. / I use 4 channels: /  / 1. Inbound (they find me)  / 2. Outbound (I find them)  / 3. Referrals (clients send clients)  / 4. Partnerships (agencies send work) / Swipe through for the breakdown. / ,7,3628,1836,,,,,,,,,,,
3702668264340472561,https://www.instagram.com/p/DNihSs5IELx/,"If you think all AI video tools are the same, you’ve already left £10K+ in potential revenue on the table. /  / Here’s the secret: each tool has a different superpower. Same character. Five tools. Totally different results: /  / * Midjourney → Quick, scroll-stopping social content. /  / * Kling → Human movement perfection. Zero text distortion. /  / * Runway → Conversational edits. Say it. Watch it happen. /  / * Hig",1,1095,1599,,,,,,,,,,,
3900816995331812569,https://www.instagram.com/p/DYifGPMjyzZ/,"If you’re new here… hi I’m Grace!! I’ve been freelancing since 2012… and full-time since I quit my job in 2017. I’ve done every role in the creative and marketing world – and today do fractional head of marketing work, editorial writing, brand strategy and business coaching.  /  / I’ve figured out how to make 6-figures every year working for myself – and I started this account to help you do the same!",8,771,15,,,,,,,,,,,
3823665496546107767,https://www.instagram.com/p/DUQY4KtjGF3/,Comment ‘GPU’ to get the link on how to set it up in 1 minute! /  / VS Code just closed the GPU gap. / Training models no longer depends on your machine. / Google Colab now gives you T4 gpu for free / Same workflow. Free compute.,1,2068,882,,,,,,,,,,,
